Microsoft Windows [Version 10.0.19045.2251]
(c) Microsoft Corporation. All rights reserved.

C:\Luaan\CS331>python predict_contours.py
15 95 250 50 750 0.37149155358464214
15 5 100 50 775 0.40609540467594774
15 5 115 50 775 0.41090140093606964
15 5 130 50 775 0.4136457783572627
15 5 145 50 775 0.4088015180360509
15 5 160 50 775 0.4065329944923712
15 5 175 50 775 0.40694108379314725
15 5 190 50 775 0.4027107400866688
15 5 205 50 775 0.39836604578774343
15 5 220 50 775 0.394703311810139
15 5 235 50 775 0.3996203751318863
15 5 250 50 775 0.40348908780210085
15 10 100 50 775 0.4049447756346872
15 10 115 50 775 0.4062481967645328
15 10 130 50 775 0.4099583666269735
15 10 145 50 775 0.4049273074180877
15 10 160 50 775 0.4030607843249285
15 10 175 50 775 0.40371110230387697
15 10 190 50 775 0.4005503482174843
15 10 205 50 775 0.3968720566551557
15 10 220 50 775 0.3926892668816672
15 10 235 50 775 0.3976790924751589
15 10 250 50 775 0.4018294705853
15 15 100 50 775 0.4040836757010132
15 15 115 50 775 0.40673757913213193
15 15 130 50 775 0.4070483005317675
15 15 145 50 775 0.4039507505994862
15 15 160 50 775 0.4013669501171211
15 15 175 50 775 0.4017772254218798
15 15 190 50 775 0.3992035338066622
15 15 205 50 775 0.3952233304845055
15 15 220 50 775 0.3908630267227557
15 15 235 50 775 0.3989264823627931
15 15 250 50 775 0.4020467263661538
15 20 100 50 775 0.41083083461641967
15 20 115 50 775 0.4095259625724543
15 20 130 50 775 0.40723874634937274
15 20 145 50 775 0.4003823679407689
15 20 160 50 775 0.39700991172960276
15 20 175 50 775 0.39665274067267636
15 20 190 50 775 0.3951326809870653
15 20 205 50 775 0.3937907708816164
15 20 220 50 775 0.3940239229453813
15 20 235 50 775 0.39957027655091476
15 20 250 50 775 0.40038342177271213
15 25 100 50 775 0.41445674549488515
15 25 115 50 775 0.4085064797702805
15 25 130 50 775 0.4047068021569888
15 25 145 50 775 0.3990367856798142
15 25 160 50 775 0.39486706706569324
15 25 175 50 775 0.39509994779839047
15 25 190 50 775 0.3932336643383747
15 25 205 50 775 0.39219355890435253
15 25 220 50 775 0.39035845053202356
15 25 235 50 775 0.3955823186635634
15 25 250 50 775 0.39785365482782026
15 30 100 50 775 0.4116545572092547
15 30 115 50 775 0.4091782688190589
15 30 130 50 775 0.40058234700411693
15 30 145 50 775 0.39977684960858334
15 30 160 50 775 0.39955425222684804
15 30 175 50 775 0.39840129156301346
15 30 190 50 775 0.3929656018848499
15 30 205 50 775 0.3920840992215131
15 30 220 50 775 0.38692222883334654
15 30 235 50 775 0.39280877325987057
15 30 250 50 775 0.3930715445630302
15 35 100 50 775 0.4134120483577995
15 35 115 50 775 0.40666533205301403
15 35 130 50 775 0.4085526263351577
15 35 145 50 775 0.4068734503524925
15 35 160 50 775 0.40194098381452054
15 35 175 50 775 0.4000361354597686
15 35 190 50 775 0.3947747475545218
15 35 205 50 775 0.3937765118104187
15 35 220 50 775 0.389483264375504
15 35 235 50 775 0.3950230344747355
15 35 250 50 775 0.3927325579478069
15 40 100 50 775 0.4065769275272821
15 40 115 50 775 0.40483025274162227
15 40 130 50 775 0.40289004581942417
15 40 145 50 775 0.4022901235742349
15 40 160 50 775 0.3961825548943298
15 40 175 50 775 0.39482739517470633
15 40 190 50 775 0.3899304175889066
15 40 205 50 775 0.39000610088071214
15 40 220 50 775 0.38634706779653366
15 40 235 50 775 0.39216873906514066
15 40 250 50 775 0.39073117436559385
15 45 100 50 775 0.4049710870356831
15 45 115 50 775 0.40217829053964077
15 45 130 50 775 0.40014255692357037
15 45 145 50 775 0.3986089489084747
15 45 160 50 775 0.39426695050387583
15 45 175 50 775 0.3908696434636916
15 45 190 50 775 0.3869040585253805
